name,company,year,Price,kms_driven,fuel_type
Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol
Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol
Maruti Suzuki Alto,Maruti,2014,160000,35550,Petrol
Maruti Suzuki Alto,Maruti,2015,75000,39000,Petrol
Maruti Suzuki Alto,Maruti,2017,190000,72000,Petrol
Maruti Suzuki Vitara,Maruti,2016,290000,15975,Diesel
Maruti Suzuki Alto,Maruti,2008,95000,70000,Petrol
Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel
Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol
Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
Maruti Suzuki Baleno,Maruti,2017,549000,32000,Diesel
Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol
Maruti Suzuki Dzire,Maruti,2013,349999,46000,Diesel
Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol
Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel
Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol
Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
Maruti Suzuki Swift,Maruti,2017,220000,30874,Petrol
Maruti Suzuki Wagon,Maruti,2013,85000,29685,Petrol
Tata Indigo eCS,Tata,2017,200000,130000,Diesel
Tata Indigo eCS,Tata,2017,200000,130000,Diesel
Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol
Maruti Suzuki A,Maruti,2011,189500,12500,Petrol
Maruti Suzuki Swift,Maruti,2014,390000,35000,Petrol
Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol
Maruti Suzuki Ertiga,Maruti,2016,635000,29000,Petrol
Maruti Suzuki Ertiga,Maruti,2016,575000,29000,Petrol
Maruti Suzuki Ertiga,Maruti,2013,485000,42000,Diesel
Maruti Suzuki Alto,Maruti,2012,155000,14000,Petrol
Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol
Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol
Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol
Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel
Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol
Maruti Suzuki Dzire,Maruti,2015,450000,104000,Diesel
Maruti Suzuki Alto,Maruti,2017,350000,5600,Petrol
Maruti Suzuki Swift,Maruti,2007,125000,70000,Petrol
Maruti Suzuki Alto,Maruti,2018,200000,7500,Petrol
Maruti Suzuki Alto,Maruti,2015,220000,38000,Petrol
Maruti Suzuki Swift,Maruti,2013,340000,41000,Petrol
Tata Indica V2,Tata,2006,90000,20000,Petrol
Maruti Suzuki Alto,Maruti,2018,310000,3000,Petrol
Maruti Suzuki Swift,Maruti,2010,189500,38500,Diesel
Maruti Suzuki Swift,Maruti,2010,159500,43200,Diesel
Tata Indigo CS,Tata,2011,85000,11400,Diesel
Maruti Suzuki Swift,Maruti,2011,209000,47000,Diesel
Maruti Suzuki Wagon,Maruti,2012,199999,44000,Petrol
Tata Indigo eCS,Tata,2016,320000,175430,Diesel
Maruti Suzuki Ciaz,Maruti,2016,700000,3350,Petrol
Maruti Suzuki Zen,Maruti,2000,55000,60000,Petrol
Maruti Suzuki Alto,Maruti,2011,145000,41000,Petrol
Maruti Suzuki Wagon,Maruti,2011,210000,35000,Petrol
Tata Nano Cx,Tata,2013,40000,2200,Petrol
Maruti Suzuki Alto,Maruti,2013,125000,39000,Petrol
Maruti Suzuki Wagon,Maruti,2009,135000,45000,Petrol
Maruti Suzuki Swift,Maruti,2006,135000,45000,Petrol
Tata Sumo Victa,Tata,2012,285000,65000,Diesel
Maruti Suzuki Wagon,Maruti,2010,145000,54870,Petrol
Maruti Suzuki Alto,Maruti,2010,135000,34580,Petrol
Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol
Maruti Suzuki Wagon,Maruti,2006,80000,71200,Petrol
Tata Aria Pleasure,Tata,2014,390000,35000,Diesel
Tata Indigo eCS,Tata,2016,320000,175430,Diesel
Tata Indigo eCS,Tata,2016,320000,175400,Diesel
Maruti Suzuki Ciaz,Maruti,2017,699000,14000,Petrol
Tata Sumo Gold,Tata,2013,300000,50000,Diesel
Maruti Suzuki Wagon,Maruti,2003,90000,45000,Petrol
Maruti Suzuki Esteem,Maruti,2006,95000,45000,Petrol
Maruti Suzuki Eeco,Maruti,2015,255000,9300,Petrol
Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol
Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol
Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol
Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel
Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol
Maruti Suzuki Wagon,Maruti,2015,289999,22000,Petrol
Maruti Suzuki Dzire,Maruti,2013,380000,30000,Petrol
Maruti Suzuki Maruti,Maruti,2003,57000,56758,Petrol
Maruti Suzuki Swift,Maruti,2011,225000,45000,Petrol
Tata Indigo eCS,Tata,2016,320000,175430,Diesel
Tata Indica V2,Tata,2008,150000,11000,Petrol
Tata Indigo CS,Tata,2009,72500,46000,Diesel
Maruti Suzuki Swift,Maruti,2019,610000,73,Petrol
Maruti Suzuki Ertiga,Maruti,2015,524999,50000,Diesel
Maruti Suzuki Dzire,Maruti,2012,299999,40000,Petrol
Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel
Maruti Suzuki Ertiga,Maruti,2018,799999,9000,Diesel
Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel
Maruti Suzuki Vitara,Maruti,2016,689999,29000,Diesel
Maruti Suzuki Wagon,Maruti,2016,344999,15000,Petrol
Tata Manza Aura,Tata,2012,130000,72000,Diesel
Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel
Tata Indigo eCS,Tata,2014,250000,40000,Diesel
Tata Vista Quadrajet,Tata,2011,120000,90000,Diesel
Maruti Suzuki Alto,Maruti,2015,265000,12000,Petrol
Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
Maruti Suzuki Zen,Maruti,2003,85000,69900,Petrol
Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol
Maruti Suzuki Swift,Maruti,2016,350000,166000,Diesel
Maruti Suzuki Maruti,Maruti,1995,30000,55000,Petrol
Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel
Maruti Suzuki Swift,Maruti,2012,225000,40000,Petrol
Maruti Suzuki Versa,Maruti,2004,80000,50000,Petrol
Tata Indigo LX,Tata,2016,130000,104000,Diesel
Maruti Suzuki Ertiga,Maruti,2013,450000,90000,Diesel
Maruti Suzuki Omni,Maruti,2001,70000,70000,Petrol
Maruti Suzuki Alto,Maruti,2017,240000,60000,Petrol
Maruti Suzuki Alto,Maruti,2011,155000,32000,Petrol
Maruti Suzuki Zen,Maruti,2001,40000,40000,Petrol
Maruti Suzuki Alto,Maruti,2014,270000,22000,Petrol
Maruti Suzuki Swift,Maruti,2015,220000,129000,Diesel
Maruti Suzuki Alto,Maruti,2015,230000,5000,Petrol
Tata Manza ELAN,Tata,2010,155555,111111,Petrol
Tata Indigo LS,Tata,2016,125000,70000,Diesel
Maruti Suzuki Wagon,Maruti,2018,395000,25500,Petrol
Tata Nano GenX,Tata,2010,32000,44005,Petrol
Maruti Suzuki Baleno,Maruti,2016,500000,28000,Petrol
Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
Maruti Suzuki Swift,Maruti,2011,230000,65,Petrol
Tata Indigo CS,Tata,2015,123000,100000,Diesel
Maruti Suzuki Baleno,Maruti,2016,498000,22000,Petrol
Tata Zest XE,Tata,2018,480000,103553,Diesel
Maruti Suzuki Dzire,Maruti,2017,488000,80000,Diesel
Tata Sumo Gold,Tata,2014,250000,99000,Diesel
Maruti Suzuki Eeco,Maruti,2013,290000,70000,LPG
Tata Tigor Revotron,Tata,2019,650000,100,Diesel
Maruti Suzuki 800,Maruti,2001,55000,81876,Petrol
Maruti Suzuki Ertiga,Maruti,2015,550000,75000,Petrol
Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
Maruti Suzuki Ertiga,Maruti,2016,730000,55000,Diesel
Maruti Suzuki Vitara,Maruti,2017,725000,36000,Diesel
Maruti Suzuki Swift,Maruti,2007,130000,62000,Petrol
Maruti Suzuki Omni,Maruti,2014,190000,6020,Petrol
Tata Indica,Tata,2005,80000,42000,Petrol
Maruti Suzuki Zen,Maruti,2010,149000,35000,Petrol
Maruti Suzuki Wagon,Maruti,2014,250000,18500,Petrol
Maruti Suzuki Wagon,Maruti,2007,120000,7000,Petrol
Maruti Suzuki Zen,Maruti,2003,99999,53000,Petrol
Maruti Suzuki Zen,Maruti,2008,135000,23000,Petrol
Maruti Suzuki Wagon,Maruti,2016,225000,35500,Diesel
Maruti Suzuki Alto,Maruti,2010,99000,22134,Petrol
Tata Nano Lx,Tata,2010,52000,9000,Petrol
Maruti Suzuki Ritz,Maruti,2010,149000,40000,Petrol
Maruti Suzuki Swift,Maruti,2015,250000,55000,Petrol
Maruti Suzuki Wagon,Maruti,2017,375000,23000,Petrol
Maruti Suzuki Estilo,Maruti,2013,180000,65000,Petrol
Maruti Suzuki Vitara,Maruti,2016,580000,25000,Diesel
Maruti Suzuki Eeco,Maruti,2015,278000,39000,Petrol
Maruti Suzuki Ertiga,Maruti,2012,480000,51000,Diesel
Maruti Suzuki Maruti,Maruti,2001,40000,75000,Petrol
Maruti Suzuki Alto,Maruti,2015,90000,55800,Petrol
Maruti Suzuki Ritz,Maruti,2010,180000,72160,Diesel
Maruti Suzuki Wagon,Maruti,2006,90001,48000,Petrol
Maruti Suzuki Estilo,Maruti,2007,115000,36000,Petrol
Maruti Suzuki Wagon,Maruti,2003,130000,133000,Petrol
Maruti Suzuki Wagon,Maruti,2009,159000,27000,Petrol
Maruti Suzuki Wagon,Maruti,2009,160000,35000,Petrol
Maruti Suzuki Alto,Maruti,2010,110000,55000,Petrol
Maruti Suzuki Baleno,Maruti,2016,425000,40000,Petrol
Maruti Suzuki Swift,Maruti,2009,150000,45000,Petrol
Maruti Suzuki Dzire,Maruti,2013,380000,35000,Petrol
Tata Indica V2,Tata,2005,35000,150000,Diesel
Tata Nano,Tata,2013,60000,6800,Petrol
Maruti Suzuki Swift,Maruti,2011,140000,65000,Diesel
Maruti Suzuki Alto,Maruti,2014,199000,37000,Petrol
Maruti Suzuki Alto,Maruti,2019,265000,9800,Petrol
Maruti Suzuki Alto,Maruti,2017,280000,6200,Petrol
Maruti Suzuki Ertiga,Maruti,2013,485000,52500,Diesel
Maruti Suzuki Omni,Maruti,2012,160000,14000,Petrol
Maruti Suzuki Celerio,Maruti,2018,310000,37000,Petrol
Tata Zest Quadrajet,Tata,2017,180000,90000,Diesel
Tata Indigo CS,Tata,2016,150000,104000,Diesel
Tata Indigo eCS,Tata,2014,95000,195000,Diesel
Tata Indigo LX,Tata,2016,230000,104000,Diesel
Tata Indigo eCS,Tata,2016,230000,104000,Diesel
Tata Indigo Marina,Tata,2004,180000,70000,Diesel
Maruti Suzuki Alto,Maruti,2009,90000,62000,Petrol
Tata Nano LX,Tata,2010,32000,48008,Petrol
Maruti Suzuki Wagon,Maruti,2010,225000,40000,Petrol
Maruti Suzuki Swift,Maruti,2006,189700,48247,Petrol
Maruti Suzuki Ertiga,Maruti,2012,389700,39000,Diesel
Maruti Suzuki Swift,Maruti,2014,365000,23000,Petrol
Maruti Suzuki Alto,Maruti,2017,360000,9400,Petrol
Tata Zest XE,Tata,2017,380000,70000,Diesel
Tata Manza Aqua,Tata,2014,160000,200000,Diesel
Tata Venture EX,Tata,2013,100000,30000,Diesel
Maruti Suzuki Swift,Maruti,2014,315000,44000,Petrol
Maruti Suzuki Omni,Maruti,2012,120000,160000,LPG
Tata Sumo Gold,Tata,2012,210000,75000,Diesel
Tata Sumo Gold,Tata,2012,210000,75000,Diesel
Maruti Suzuki Zen,Maruti,2002,95000,10544,Petrol
Maruti Suzuki Swift,Maruti,2011,255000,64000,Petrol
Maruti Suzuki Alto,Maruti,2017,270000,21000,Petrol
Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
Maruti Suzuki Swift,Maruti,2010,190000,74000,Diesel
Maruti Suzuki Zen,Maruti,2003,48000,60000,Petrol
Maruti Suzuki Ciaz,Maruti,2016,650000,50000,Petrol
Maruti Suzuki Swift,Maruti,2010,270000,67000,Diesel
Maruti Suzuki Zen,Maruti,2008,125000,46000,Petrol
Tata Indica eV2,Tata,2015,140000,60105,Diesel
Maruti Suzuki Swift,Maruti,2015,475000,22000,Petrol
Maruti Suzuki S,Maruti,2016,615000,21000,Diesel
Maruti Suzuki Ertiga,Maruti,2013,475000,48000,Diesel
Maruti Suzuki Alto,Maruti,2016,270000,38000,Petrol
Tata Zest XE,Tata,2018,450000,102563,Diesel
Maruti Suzuki Swift,Maruti,2017,650000,41800,Diesel
Tata Sumo Gold,Tata,2014,275000,116000,Diesel
Maruti Suzuki Swift,Maruti,2009,210000,59000,Petrol
Maruti Suzuki Omni,Maruti,2009,85000,45000,Petrol
Maruti Suzuki Ertiga,Maruti,2012,1000000,200000,Diesel
Tata Indigo CS,Tata,2017,270000,50000,Diesel
Maruti Suzuki Wagon,Maruti,2008,140000,68000,Petrol
Maruti Suzuki Swift,Maruti,2016,499000,51000,Diesel
Maruti Suzuki Omni,Maruti,2009,85000,56000,Petrol
Maruti Suzuki Zen,Maruti,2004,70000,100000,Petrol
Maruti Suzuki Swift,Maruti,2014,370000,11523,Petrol
Maruti Suzuki Baleno,Maruti,2018,690000,1000,Petrol
Tata Indigo CS,Tata,2016,110000,85000,Diesel
Maruti Suzuki Zen,Maruti,2004,68000,56000,Petrol
Maruti Suzuki Wagon,Maruti,2014,130000,37458,Petrol
Maruti Suzuki SX4,Maruti,2016,970000,85960,Diesel
Maruti Suzuki Zen,Maruti,2009,125000,0,Petrol
Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel
Maruti Suzuki Swift,Maruti,2015,475000,43000,Diesel
Maruti Suzuki Alto,Maruti,2013,240000,20000,Petrol
Maruti Suzuki Swift,Maruti,2014,260000,120000,Diesel
Tata Indica V2,Tata,2009,90000,30600,Diesel
Maruti Suzuki Alto,Maruti,2015,215000,50000,Petrol
Maruti Suzuki Wagon,Maruti,2004,53000,69000,Petrol
Maruti Suzuki Ertiga,Maruti,2012,500000,48000,Diesel
Tata Indica eV2,Tata,2012,85000,55000,Diesel
Maruti Suzuki Omni,Maruti,2013,165000,25000,Petrol
Maruti Suzuki Swift,Maruti,2015,425000,42000,Diesel
Tata Tiago Revotron,Tata,2018,430000,3500,Petrol
Tata Tiago Revotorq,Tata,2019,568500,0,Petrol
Maruti Suzuki Zen,Maruti,2006,71000,32000,Petrol
Maruti Suzuki Omni,Maruti,2017,240000,8000,Petrol
Tata Indica V2,Tata,2012,115000,64000,Diesel
Maruti Suzuki Alto,Maruti,2015,265000,14000,Petrol
Tata Sumo Grande,Tata,2010,130000,90000,Diesel
Maruti Suzuki Swift,Maruti,2011,250000,58000,Diesel
Maruti Suzuki Alto,Maruti,2003,42000,60000,Petrol
Tata Tiago Revotron,Tata,2017,400000,31000,Petrol
Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel
Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel
Tata Indigo eCS,Tata,2016,130000,150000,Diesel
Tata Sumo Gold,Tata,2013,215000,100000,Petrol
Tata Nano,Tata,2013,60000,7000,Petrol
Maruti Suzuki Dzire,Maruti,2014,374999,33000,Petrol
Tata Bolt XM,Tata,2015,600000,15000,Petrol
Maruti Suzuki Alto,Maruti,2005,70000,47000,Petrol
Maruti Suzuki Alto,Maruti,2005,100000,40000,Petrol
Maruti Suzuki Ritz,Maruti,2010,150000,38000,Diesel
Maruti Suzuki Alto,Maruti,2017,225000,12500,Petrol
Maruti Suzuki Dzire,Maruti,2009,210000,42000,Petrol
Maruti Suzuki Swift,Maruti,2008,162000,60000,Diesel
Tata Indica V2,Tata,2005,60000,80000,Diesel
Maruti Suzuki Omni,Maruti,2000,35999,60000,Petrol
Tata Indica V2,Tata,2005,39999,80000,Diesel
Maruti Suzuki Wagon,Maruti,2016,395000,20000,Petrol
Maruti Suzuki Swift,Maruti,2008,175000,58000,Diesel
Maruti Suzuki Alto,Maruti,2019,400000,1500,Petrol
Maruti Suzuki Alto,Maruti,2016,250000,2450,Petrol
Maruti Suzuki Alto,Maruti,2019,425000,1625,Petrol
Maruti Suzuki 800,Maruti,2000,30000,33400,Petrol
Maruti Suzuki Wagon,Maruti,2006,100000,7000,Petrol
Tata Manza,Tata,2015,100000,100000,Diesel
Tata Indica eV2,Tata,2016,50500,91200,Diesel
Tata Zest XE,Tata,2017,290000,120000,Diesel
Tata Indigo eCS,Tata,2016,160000,104000,Diesel
Maruti Suzuki Swift,Maruti,2016,350000,146000,Diesel
Maruti Suzuki Dzire,Maruti,2016,325000,150000,Diesel
Maruti Suzuki Dzire,Maruti,2016,450000,2500,Diesel
Maruti Suzuki Alto,Maruti,2005,95000,65000,Petrol
Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel
Maruti Suzuki Ritz,Maruti,2011,270000,50000,Petrol
Tata Indica V2,Tata,2009,110000,30000,Diesel
Tata Zest XM,Tata,2018,260000,27000,Diesel
Tata Nexon,Tata,2021,1000000,15000,Petrol
Tata tiago,Tata,2022,600000,15000,Petrol
Tata tiago NRG,Tata,2022,600000,15000,Petrol
Tata Nexon Ev,Tata,2023,1300000,15000,Petrol
Maruti Suzuki Swift,Maruti,2021,620000,12000,Petrol
Maruti Suzuki Swift,Maruti,2021,580000,35000,Petrol
Maruti Suzuki Swift,Maruti,2022,670000,8000,Petrol
Maruti Suzuki Swift,Maruti,2023,700000,5000,Petrol
Maruti Suzuki Baleno,Maruti,2020,720000,18000,Petrol
Maruti Suzuki Baleno,Maruti,2021,740000,15000,Petrol
Maruti Suzuki Baleno,Maruti,2022,790000,8000,Petrol
Maruti Suzuki Dzire,Maruti,2020,820000,25000,Petrol
Maruti Suzuki Dzire,Maruti,2022,860000,10000,Petrol
Maruti Suzuki Dzire,Maruti,2023,880000,7000,Petrol
Maruti Suzuki Ertiga,Maruti,2021,920000,20000,Petrol
Maruti Suzuki Ertiga,Maruti,2022,960000,12000,Petrol
Maruti Suzuki Ertiga,Maruti,2023,980000,8000,Petrol
Tata Nexon,Tata,2020,920000,30000,Diesel
Tata Nexon,Tata,2021,950000,18000,Diesel
Tata Nexon,Tata,2022,980000,10000,Diesel
Tata Nexon,Tata,2023,1000000,6000,Diesel
Tata Altroz,Tata,2020,800000,25000,Petrol
Tata Altroz,Tata,2021,850000,15000,Petrol
Tata Altroz,Tata,2022,870000,10000,Petrol
Tata Altroz,Tata,2023,900000,6000,Petrol
Tata Harrier,Tata,2020,1750000,40000,Diesel
Tata Harrier,Tata,2021,1800000,20000,Diesel
Tata Harrier,Tata,2022,1900000,10000,Diesel
Tata Harrier,Tata,2023,1950000,5000,Diesel
Tata Punch,Tata,2021,680000,20000,Petrol
Tata Punch,Tata,2022,710000,10000,Petrol
Tata Punch,Tata,2023,740000,5000,Petrol
Tata Safari,Tata,2021,1900000,25000,Diesel
Tata Safari,Tata,2022,1950000,15000,Diesel
Tata Safari,Tata,2023,2000000,10000,Diesel
Tata Safari,Tata,2024,2100000,3000,Diesel
Maruti Suzuki Fronx,Maruti,2023,850000,5000,Petrol
Maruti Suzuki Jimny,Maruti,2023,1400000,3000,Petrol
Maruti Suzuki Grand Vitara,Maruti,2022,1500000,8000,Petrol
Maruti Suzuki Celerio,Maruti,2021,620000,12000,Petrol
Maruti Suzuki Celerio,Maruti,2022,640000,9000,Petrol
Maruti Suzuki Ciaz,Maruti,2021,1000000,15000,Petrol
Maruti Suzuki Ciaz,Maruti,2022,1030000,10000,Petrol
Maruti Suzuki Ignis,Maruti,2023,560000,7000,Petrol
Tata Tiago EV,Tata,2022,850000,5000,Electric
Tata Tiago EV,Tata,2023,900000,3000,Electric
Tata Tigor EV,Tata,2022,1150000,8000,Electric
Tata Tigor EV,Tata,2023,1200000,5000,Electric
Tata Altroz Racer,Tata,2023,1150000,4000,Petrol
Tata Curvv,Tata,2023,2000000,3000,Electric
Tata Avinya,Tata,2024,3000000,1000,Electric
Tata Punch iCNG,Tata,2023,850000,6000,LPG
Tata Sierra EV,Tata,2024,2500000,1000,Electric
